Disease Description,ICD10,Obs,Exp,PMR,PMR_95CI,PAR
"Certain early complications of trauma, NEC",T79,107,10.83,9.88,"(8, 11.76)",0.66
Traumatic shock,T794,60,2.48,24.19,"(18.07, 30.31)",0.4
Traumatic ischemia of muscle,T796,32,0.9,35.56,"(23.23, 47.89)",0.2
Syncope and collapse,R55,103,11.77,8.75,"(7.06, 10.44)",0.6
Complications and ill-defined descriptions of heart disease,I51,237,152.47,1.55,"(1.35, 1.75)",0.58
"Cardiovascular disease, unspecified",I516,121,47.02,2.57,"(2.12, 3.02)",0.5
Osteoporosis without current pathological fracture,M81,98,11.9,8.24,"(6.61, 9.87)",0.5
Pulmonary embolism,I26,175,112.1,1.56,"(1.32, 1.8)",0.47
Hypertensive heart and chronic kidney disease,I13,83,22.89,3.63,"(2.85, 4.41)",0.4
"Surg op & oth surg proc cause abn react/compl, w/o misadvnt",Y83,120,66.95,1.79,"(1.48, 2.1)",0.4
"Oth recnst surgery cause abn react/compl, w/o misadvnt",Y834,41,5.01,8.18,"(5.67, 10.69)",0.25
"Surgical proc, unsp cause abn react/compl, w/o misadvnt",Y839,42,10.76,3.9,"(2.72, 5.08)",0.23
"Endocarditis, valve unspecified",I38,98,37.2,2.63,"(2.1, 3.16)",0.39
"Convulsions, not elsewhere classified",R56,126,74.4,1.69,"(1.4, 1.98)",0.38
Other coagulation defects,D68,64,22.46,2.85,"(2.14, 3.56)",0.31
"Coagulation defect, unspecified",D689,58,18.5,3.14,"(2.34, 3.94)",0.3
Purpura and other hemorrhagic conditions,D69,71,38.11,1.86,"(1.43, 2.29)",0.24
"Thrombocytopenia, unspecified",D696,63,28.28,2.23,"(1.68, 2.78)",0.25
Emphysema,J43,87,54.25,1.6,"(1.27, 1.93)",0.24
"Emphysema, unspecified",J439,84,52.29,1.61,"(1.26, 1.96)",0.24
"Oth degenerative diseases of nervous system, NEC",G31,72,38.43,1.87,"(1.44, 2.3)",0.22
Other specified degenerative diseases of nervous system,G318,38,21.52,1.77,"(1.2, 2.34)",0.11
Phlebitis and thrombophlebitis,I80,93,61.74,1.51,"(1.2, 1.82)",0.22
Phlbts and thombophlb of and unsp deep vessels of low extrm,I802,87,54.47,1.6,"(1.27, 1.93)",0.23
Exposure to excessive natural cold,X31,32,3.21,9.97,"(6.52, 13.42)",0.21
Hypothermia,T68,32,5.91,5.41,"(3.53, 7.29)",0.19
Myeloid leukemia,C92,30,10.17,2.95,"(1.89, 4.01)",0.17
Acute myeloblastic leukemia,C920,23,4.21,5.46,"(3.23, 7.69)",0.16
Spinal muscular atrophy and related syndromes,G12,25,4,6.25,"(3.8, 8.7)",0.16
Motor neuron disease,G122,25,3.16,7.91,"(4.81, 11.01)",0.18
Dizziness and giddiness,R42,25,1.39,17.99,"(10.93, 25.05)",0.15
Leukemia of unspecified cell type,C95,28,8.08,3.47,"(2.2, 4.74)",0.14
"Leukemia, unspecified",C959,24,5.3,4.53,"(2.73, 6.33)",0.13
Malignant neoplasm of liver and intrahepatic bile ducts,C22,30,14.22,2.11,"(1.35, 2.87)",0.13
Ankylosing spondylitis,M45,17,1.96,8.67,"(4.55, 12.79)",0.13
Multiple myeloma and malignant plasma cell neoplasms,C90,31,16.96,1.83,"(1.18, 2.48)",0.12
Multiple myeloma,C900,30,15.28,1.96,"(1.25, 2.67)",0.12
Hydrocephalus,G91,30,12.79,2.35,"(1.51, 3.19)",0.12
Effects of other deprivation,T73,2,0.25,8,"(-3.09, 19.09)",0.11
Sequelae of other accidents,Y86,23,6.55,3.51,"(2.08, 4.94)",0.11
Status Epilepticus,G41,14,3.63,3.86,"(1.84, 5.88)",0.1
Agents primarily affecting blood constituents,Y44,27,12.2,2.21,"(1.37, 3.05)",0.1
